Matrix,Init Time (ms),Best Time (ms),Best col_frac,Best hot_frac
Ecoli_10NN,0.004883,0.004842,0,0
G45,0.005234,0.004843,0,0
Sieber,0.007195,0.004849,0,0
bcsstm07,0.004937,0.004849,0,0
dataset16mfeatkarhunen_10NN,0.005244,0.004849,0,0
rdb5000,0.004851,0.004851,1,1
bfwa782,0.005336,0.004853,0,0
bcsstk02,0.006586,0.004856,0,0
dataset12mfeatfactors_10NN,0.005504,0.004861,0,0
3elt,0.0049,0.004862,0,0
celegansneural,0.005192,0.004862,0,0
G20,0.008167,0.004863,0,0
big_dual,0.004867,0.004867,1,1
lowThrust_2,0.007536,0.004868,0,0
G17,0.008517,0.004869,0,0
ex18,0.004873,0.004873,1,1
t2dal_bci,0.004875,0.004875,1,1
G14,0.008489,0.004876,0,0
adder_dcop_36,0.009978,0.004879,0,0
t2dal_a,0.004887,0.004887,1,1
bcsstk04,0.005482,0.004888,0,0
bcspwr10,0.004889,0.004889,1,1
Erdos971,0.005317,0.004897,0,0
bcsstm12,0.005152,0.004897,0,0
M80PI_n,0.004898,0.004898,1,1
dw4096,0.004898,0.004898,1,1
M40PI_n,0.004899,0.004899,1,1
dwt_1005,0.005059,0.004899,0,0
bcsstm10,0.004902,0.004902,1,1
mhd1280b,0.004907,0.004907,1,1
cage9,0.005205,0.00491,0,0
ncvxqp1,0.004911,0.004911,1,1
G51,0.00945,0.004912,0,0
S20PI_n,0.004912,0.004912,1,1
aug3d,0.004912,0.004912,1,1
ncvxqp9,0.004912,0.004912,1,1
Plants_10NN,0.005333,0.004913,0,0
adder_dcop_67,0.009853,0.004913,0,0
gemat11,0.005821,0.004913,0,0
adder_dcop_28,0.010011,0.004914,0,0
adder_dcop_65,0.009856,0.004914,0,0
adder_dcop_19,0.010011,0.004916,0,0
dataset20mfeatpixel_10NN,0.005665,0.004917,0,0
utm300,0.004918,0.004918,1,1
shallow_water1,0.004919,0.004919,1,1
can_292,0.005052,0.00492,0,0
G21,0.00846,0.004923,0,0
spaceStation_2,0.00535,0.004923,0,0
micromass_10NN,0.008797,0.004925,0,0
adder_dcop_16,0.009817,0.004926,0,0
adder_dcop_42,0.009914,0.004927,0,0
adder_dcop_21,0.009818,0.004928,0,0
adder_dcop_26,0.010364,0.004928,0,0
adder_dcop_51,0.009897,0.004928,0,0
M20PI_n,0.004929,0.004929,1,1
adder_dcop_11,0.010116,0.00493,0,0
adder_dcop_23,0.01015,0.00493,0,0
shallow_water2,0.00493,0.00493,1,1
spaceStation_4,0.007511,0.004931,0,0
g7jac010,0.005341,0.004932,0,0
tumorAntiAngiogenesis_8,0.009081,0.004933,0,0
adder_dcop_22,0.009978,0.004935,0,0
ex21,0.006903,0.004936,0,0
adder_dcop_38,0.009884,0.004941,0,0
adder_dcop_48,0.0102,0.004941,0,0
G15,0.009281,0.004944,0,0
str_600,0.004949,0.004949,1,1
cz308,0.004951,0.004951,1,1
adder_dcop_47,0.010041,0.004952,0,0
adder_dcop_53,0.009808,0.004954,0,0
can_838,0.005172,0.004954,0,0
Erdos991,0.005336,0.004955,0,0
adder_dcop_43,0.009902,0.004955,0,0
adder_dcop_12,0.009917,0.004956,0,0
t2dal,0.005011,0.004956,0,0
G52,0.009112,0.004957,0,0
adder_dcop_18,0.009994,0.004958,0,0
adder_dcop_68,0.009962,0.004958,0,0
mhda416,0.004959,0.004959,1,1
plantsmargin_12NN,0.006068,0.00496,0,0
G16,0.008277,0.004961,0,0
G46,0.004964,0.004964,1,1
