Matrix Name,square_ratio
delaunay_n15,0.487305
delaunay_n16,0.486711
delaunay_n17,0.486962
delaunay_n18,0.487580
delaunay_n19,0.487516
delaunay_n20,0.487577
delaunay_n21,0.487494
delaunay_n22,0.487582
delaunay_n23,0.487596
delaunay_n24,0.487551
dendrimer,0.361492
denormal,0.475089
dermatology_5NN,0.473917
descriptor_xingo6u,0.210801
dgreen,0.362006
diag,0.464557
dictionary28,0.065138
dielFilterV2clx,0.407974
dielFilterV2real,0.416156
dielFilterV3clx,0.370378
dielFilterV3real,0.385256
dixmaanl,0.520000
dtoc,0.380743
dw1024,0.452723
dw2048,0.452723
dw256A,0.427750
dw256B,0.425171
dw4096,0.461203
dw8192,0.461203
dwa512,0.427750
dwb512,0.425171
dwg961a,0.241364
dwg961b,0.424441
dwt_1005,0.351995
dwt_1007,0.429825
dwt_1242,0.408262
dwt_162,0.421696
dwt_193,0.390373
dwt_198,0.379375
dwt_209,0.385454
dwt_221,0.449950
dwt_245,0.299325
dwt_2680,0.435099
dwt_307,0.444143
dwt_310,0.419095
dwt_346,0.315396
dwt_361,0.399076
dwt_419,0.430175
dwt_492,0.361330
dwt_503,0.300132
dwt_512,0.247910
dwt_592,0.417124
dwt_607,0.388236
dwt_758,0.423681
dwt_869,0.410271
dwt_878,0.426801
dwt_918,0.426300
dwt_992,0.428499
dynamicSoaringProblem_1,0.279055
dynamicSoaringProblem_2,0.231473
dynamicSoaringProblem_3,0.261770
dynamicSoaringProblem_4,0.272314
dynamicSoaringProblem_5,0.261364
dynamicSoaringProblem_6,0.257313
dynamicSoaringProblem_7,0.260227
dynamicSoaringProblem_8,0.261176
e40r0100,0.387268
ecl32,0.298756
ecology1,0.479232
ecology2,0.479232
email-Enron,0.031388
email-Eu-core-temporal,0.114229
email-Eu-core,0.116623
email-EuAll,0.005878
email,0.159553
engine,0.413436
enron,0.004254
epb0,0.443217
epb1,0.456867
epb2,0.423778
epb3,0.473009
eris1176,0.035610
eu-2005,0.052224
europe_osm,0.444219
eurqsa,0.395907
ex1,0.395062
ex10,0.270462
ex10hs,0.272756
ex11,0.387723
ex12,0.385976
ex13,0.388302
ex14,0.397724
ex15,0.319933
ex18,0.286672
ex19,0.246099
ex2,0.394722
ex20,0.378078
ex21,0.378251
ex22,0.358145
ex23,0.387995
ex24,0.413006
ex25,0.373565
ex26,0.336280
ex27,0.287659
ex28,0.379221
ex29,0.406149
ex3,0.379422
ex31,0.287109
ex32,0.409731
ex33,0.311051
ex35,0.310936
ex36,0.376321
ex37,0.110080
ex3sta1,0.310840
ex4,0.389529
ex40,0.315437
ex6,0.383975
ex7,0.358482
ex8,0.373909
ex9,0.382570
exdata_1,0.037838
extr1,0.243995
extr1b,0.243816
fcondp2,0.464353
fd12,0.426540
fd15,0.435040
fd18,0.440917
fe_4elt2,0.464450
fe_body,0.400060
fe_ocean,0.434895
fe_rotor,0.443219
fe_sphere,0.479941
fe_tooth,0.377376
fem_filter,0.258045
fem_hifreq_circuit,0.413393
filter2D,0.409963
filter3D,0.397990
finan512,0.329636
finance256,0.329669
fl2010,0.352593
flickr,0.001948
flowmeter0,0.471795
flowmeter5,0.471795
foldoc,0.332492
football,0.531645
ford1,0.407507
ford2,0.413463
fp,0.234276
fpga_dcop_01,0.389788
fpga_dcop_02,0.389788
fpga_dcop_03,0.389788
fpga_dcop_04,0.389788
fpga_dcop_05,0.388734
fpga_dcop_06,0.389757
fpga_dcop_07,0.388703
fpga_dcop_08,0.389788
fpga_dcop_09,0.389788
fpga_dcop_10,0.389261
fpga_dcop_11,0.389788
fpga_dcop_12,0.389788
fpga_dcop_13,0.389788
fpga_dcop_14,0.389788
fpga_dcop_15,0.389788
fpga_dcop_16,0.389788
fpga_dcop_17,0.389788
fpga_dcop_18,0.389788
fpga_dcop_19,0.389788
fpga_dcop_20,0.389788
fpga_dcop_21,0.389788
fpga_dcop_22,0.389788
fpga_dcop_23,0.389788
fpga_dcop_24,0.389788
fpga_dcop_25,0.389788
fpga_dcop_26,0.389788
fpga_dcop_27,0.389788
fpga_dcop_28,0.389788
fpga_dcop_29,0.389788
fpga_dcop_30,0.389788
fpga_dcop_31,0.389788
fpga_dcop_32,0.389788
fpga_dcop_33,0.389788
fpga_dcop_34,0.389788
fpga_dcop_35,0.389788
fpga_dcop_36,0.389788
fpga_dcop_37,0.389788
fpga_dcop_38,0.389788
fpga_dcop_39,0.389788
fpga_dcop_40,0.389788
fpga_dcop_41,0.389788
fpga_dcop_42,0.389788
fpga_dcop_43,0.389788
fpga_dcop_44,0.389788
fpga_dcop_45,0.389788
fpga_dcop_46,0.389788
fpga_dcop_47,0.389788
fpga_dcop_48,0.389788
fpga_dcop_49,0.389788
fpga_dcop_50,0.389788
fpga_dcop_51,0.389788
fpga_trans_01,0.353518
fpga_trans_02,0.353518
freeFlyingRobot_1,0.323845
freeFlyingRobot_10,0.288063
freeFlyingRobot_11,0.294709
freeFlyingRobot_12,0.289991
freeFlyingRobot_13,0.283571
freeFlyingRobot_14,0.295024
freeFlyingRobot_15,0.299565
freeFlyingRobot_16,0.296511
freeFlyingRobot_2,0.276110
freeFlyingRobot_3,0.283974
freeFlyingRobot_4,0.296920
freeFlyingRobot_5,0.287911
freeFlyingRobot_6,0.287614
freeFlyingRobot_7,0.290235
freeFlyingRobot_8,0.290289
freeFlyingRobot_9,0.279825
fs_183_3,0.209920
fs_183_4,0.209920
fs_183_6,0.209920
fs_541_1,0.446749
fs_541_2,0.446749
fs_541_3,0.446749
fs_541_4,0.446749
fs_680_1,0.149118
fs_680_2,0.149118
fs_680_3,0.149118
fs_760_1,0.298452
fs_760_2,0.298452
fs_760_3,0.298452
fullb,0.454296
fv1,0.467130
fv2,0.467254
fv3,0.467254
fxm3_6,0.177002
fxm4_6,0.267585
g3rmt3m3,0.401151
g7jac010,0.196875
g7jac010sc,0.196875
g7jac020,0.157486
g7jac020sc,0.157486
g7jac040,0.091844
g7jac040sc,0.091844
g7jac050sc,0.068518
g7jac060,0.056621
g7jac060sc,0.056621
g7jac080,0.047598
g7jac080sc,0.047598
g7jac100,0.043054
g7jac100sc,0.043054
g7jac120,0.040398
g7jac120sc,0.040398
g7jac140,0.038844
g7jac140sc,0.038844
g7jac160,0.037814
g7jac160sc,0.037814
g7jac180,0.037026
g7jac180sc,0.037026
g7jac200,0.036403
g7jac200sc,0.036403
ga2010,0.359702
garon1,0.414958
garon2,0.445578
