Matrix Name,cd_perf (ms),cusparse_perf (ms)
bp_400,0.0058,0.0090
bp_600,0.0061,0.0094
bp_800,0.0050,0.0088
brack2,0.0091,0.0117
brainpc2,0.0060,0.0101
bratu3d,0.0075,0.0102
breasttissue_10NN,0.0046,0.0081
bundle1,0.0089,0.0120
bundle_adj,3.8196,0.1422
bwm2000,0.0056,0.0090
c-18,0.0060,0.0099
c-19,0.0060,0.0097
c-20,0.0066,0.0097
c-21,0.0063,0.0103
c-22,0.0057,0.0096
c-23,0.0065,0.0098
c-24,0.0065,0.0104
c-25,0.0063,0.0102
c-26,0.0063,0.0100
c-27,0.0063,0.0101
c-28,0.0055,0.0101
c-29,0.0066,0.0103
c-30,0.0370,0.0101
c-31,0.0068,0.0100
c-32,0.0434,0.0101
c-33,0.0069,0.0104
c-34,0.0069,0.0100
c-35,0.0068,0.0107
c-36,0.0068,0.0099
c-37,0.0063,0.0100
c-38,0.0067,0.0100
c-39,0.0073,0.0100
c-40,0.0070,0.0102
c-41,0.0068,0.0102
c-42,0.0069,0.0102
c-43,0.0066,0.0103
c-44,0.0063,0.0099
c-45,0.0826,0.0100
c-46,0.0073,0.0105
c-47,0.0081,0.0102
c-48,0.0068,0.0104
c-49,0.0075,0.0101
c-50,0.0070,0.0107
c-51,0.0070,0.0106
c-52,0.0068,0.0103
c-53,0.0142,0.0112
c-54,0.0135,0.0112
c-55,0.0142,0.0114
c-56,0.0139,0.0113
c-57,0.2394,0.0113
c-58,0.0158,0.0118
c-59,0.0156,0.0113
c-60,0.0074,0.0106
c-61,0.0139,0.0110
c-62,0.0156,0.0122
c-62ghs,0.0155,0.0120
c-63,0.0133,0.0114
c-64,0.0158,0.0151
c-64b,0.0157,0.0150
c-65,0.0144,0.0111
c-66,0.0152,0.0113
c-66b,0.0152,0.0114
c-67,0.0152,0.0113
c-67b,0.0154,0.0114
c-68,0.0142,0.0120
c-69,0.0144,0.0119
c-70,0.0153,0.0118
c-71,0.0152,0.0134
c-72,0.0153,0.0120
c-73,0.0175,0.0150
c-73b,0.0173,0.0150
c-big,0.0209,0.0209
ca-AstroPh,0.0112,0.0138
ca-CondMat,0.0087,0.0116
ca-GrQc,0.0057,0.0098
ca-HepPh,0.0087,0.0117
ca-HepTh,0.0066,0.0101
ca2010,0.0379,0.0390
cage,0.0045,0.0083
cage10,0.0057,0.0093
cage11,0.0095,0.0111
cage12,0.0130,0.0187
cage13,0.0462,0.0537
cage14,0.1369,0.1709
cage15,0.4862,0.6375
cage7,0.0048,0.0086
