Matrix Name,Rows,NNZs,Parameters (colProp, rowProp),TC_nnz_ratio,du_spmv (ms),cdspmv (ms)
arabic-2005,22744080,639999458,(0.25, 0.2),0.927423,0.6511,4.8781
arabic-2005,22744080,639999458,(0.3125, 0.25),0.926912,0.8501,4.6228
arabic-2005,22744080,639999458,(0.375, 0.3),0.919094,1.0527,4.344
arabic-2005,22744080,639999458,(0.4375, 0.35),0.908012,1.257,4.0949
arabic-2005,22744080,639999458,(0.5, 0.4),0.897962,1.4596,3.8273
arabic-2005,22744080,639999458,(0.5625, 0.45),0.878026,1.6577,3.5637
arabic-2005,22744080,639999458,(0.625, 0.5),0.855063,1.8746,3.2988
arabic-2005,22744080,639999458,(0.6875, 0.55),0.836296,2.0998,3.02
arabic-2005,22744080,639999458,(0.75, 0.6),0.804824,2.3274,2.7487
arabic-2005,22744080,639999458,(0.8125, 0.65),0.761988,2.59,2.4706
arabic-2005,22744080,639999458,(0.875, 0.7),0.713161,2.9099,2.1818
bone010,986703,71666325,(0.1875, 0.15),0.467606,0.0863,0.5335
bone010,986703,71666325,(0.25, 0.2),0.472123,0.1154,0.5028
bone010,986703,71666325,(0.3125, 0.25),0.473123,0.1453,0.4745
bone010,986703,71666325,(0.375, 0.3),0.475229,0.1779,0.4467
bone010,986703,71666325,(0.4375, 0.35),0.472816,0.2148,0.4169
bone010,986703,71666325,(0.5, 0.4),0.466053,0.2457,0.3877
bone010,986703,71666325,(0.5625, 0.45),0.460653,0.2779,0.3589
bone010,986703,71666325,(0.625, 0.5),0.459474,0.3144,0.3296
bone010,986703,71666325,(0.6875, 0.55),0.458110,0.351,0.3008
bone010,986703,71666325,(0.75, 0.6),0.458866,0.3847,0.2722
bone010,986703,71666325,(0.8125, 0.65),0.463690,0.4173,0.2432
bone010,986703,71666325,(0.875, 0.7),0.474730,0.4465,0.215
it-2004,41291594,1150725436,(0.1875, 0.15),0.919247,0.8144,9.3088
it-2004,41291594,1150725436,(0.25, 0.2),0.924865,1.1861,8.8165
it-2004,41291594,1150725436,(0.3125, 0.25),0.928719,1.5549,8.3694
it-2004,41291594,1150725436,(0.375, 0.3),0.929091,1.9026,7.8832
