Matrix Name,cd_perf (ms),cusparse_perf (ms)
crankseg_1,0.0983,0.0971
crankseg_2,0.1281,0.1242
crashbasis,0.0154,0.0249
crplat2,0.0100,0.0174
cryg10000,0.0048,0.0124
cryg2500,0.0043,0.0112
crystk01,0.0063,0.0133
crystk02,0.0103,0.0177
crystk03,0.0140,0.0223
crystm01,0.0052,0.0121
crystm02,0.0064,0.0137
crystm03,0.0081,0.0155
cs4,0.0067,0.0142
ct2010,0.0082,0.0168
ct20stif,0.0280,0.0329
cti,0.0050,0.0124
cvxbqp1,0.0072,0.0154
cvxqp3,0.0057,0.0131
cyl6,0.0080,0.0162
