Matrix Name,cd_perf (ms),cusparse_perf (ms)
bcsstm09,0.0076,0.0144
bcsstm10,0.0049,0.0129
bcsstm11,0.0080,0.0152
bcsstm12,0.0047,0.0129
bcsstm13,0.0080,0.0145
bcsstm21,0.0075,0.0154
bcsstm23,0.0076,0.0155
bcsstm24,0.0076,0.0155
bcsstm25,0.0081,0.0163
bcsstm26,0.0077,0.0146
bcsstm27,0.0050,0.0128
bcsstm34,0.0048,0.0125
bcsstm35,0.0131,0.0201
bcsstm36,0.0058,0.0149
bcsstm37,0.0128,0.0205
bcsstm38,0.0101,0.0169
bcsstm39,0.0082,0.0170
belgium_osm,0.0342,0.0394
benzene,0.0059,0.0146
bfly,0.0057,0.0158
bfwa398,0.0044,0.0120
bfwa782,0.0047,0.0128
bfwb398,0.0043,0.0123
bfwb782,0.0047,0.0128
bibd_81_2,0.0078,0.0155
big,0.0050,0.0141
big_dual,0.0063,0.0151
biplane-9,0.0060,0.0148
bips07_1693,0.0063,0.0153
bips07_1998,0.0064,0.0150
bips07_2476,0.0065,0.0154
bips07_3078,0.0064,0.0152
bips98_1142,0.0062,0.0153
bips98_1450,0.0062,0.0150
bips98_606,0.0060,0.0147
blckhole,0.0045,0.0133
blockqp1,0.0089,0.0206
bloweya,0.0060,0.0152
bloweybl,0.0070,0.0153
bloweybq,0.0794,0.0142
bmw3_2,0.0913,0.0840
bmw7st_1,0.0619,0.0593
bmwcra_1,0.0966,0.0847
bodyy4,0.0052,0.0146
bodyy5,0.0051,0.0146
bodyy6,0.0050,0.0146
bone010,0.5982,0.4746
boneS01,0.0588,0.0542
boneS10,0.4763,0.3584
boyd1,0.0263,0.0329
boyd2,0.0150,0.0248
bp_0,0.0059,0.0131
bp_1000,0.0048,0.0127
bp_1200,0.0048,0.0130
bp_1400,0.0050,0.0128
bp_1600,0.0050,0.0127
bp_200,0.0048,0.0127
bp_400,0.0056,0.0129
bp_600,0.0058,0.0128
bp_800,0.0049,0.0127
brack2,0.0078,0.0173
brainpc2,0.0059,0.0154
bratu3d,0.0074,0.0152
breasttissue_10NN,0.0044,0.0114
bundle1,0.0711,0.0170
bundle_adj,3.9848,0.1486
bwm2000,0.0053,0.0130
c-18,0.0058,0.0142
c-19,0.0060,0.0143
c-20,0.0067,0.0142
c-21,0.0063,0.0144
c-22,0.0055,0.0144
c-23,0.0062,0.0143
c-24,0.0064,0.0152
c-25,0.0065,0.0151
c-26,0.0062,0.0146
c-27,0.0062,0.0150
c-28,0.0054,0.0146
c-29,0.0065,0.0151
c-30,0.0367,0.0147
c-31,0.0067,0.0147
c-32,0.0431,0.0146
c-33,0.0068,0.0152
c-34,0.0070,0.0153
c-35,0.0067,0.0154
c-36,0.0066,0.0145
c-37,0.0062,0.0151
c-38,0.0067,0.0148
c-39,0.0073,0.0150
c-40,0.0067,0.0148
c-41,0.0068,0.0151
c-42,0.0067,0.0150
c-43,0.0065,0.0151
c-44,0.0061,0.0144
c-45,0.0822,0.0149
c-46,0.0073,0.0155
c-47,0.0081,0.0158
c-48,0.0067,0.0155
c-49,0.0074,0.0152
c-50,0.0070,0.0159
c-51,0.0067,0.0157
c-52,0.0067,0.0156
c-53,0.0109,0.0165
c-54,0.0072,0.0166
c-55,0.0082,0.0171
c-56,0.0070,0.0163
c-57,0.2404,0.0167
c-58,0.0093,0.0172
c-59,0.0081,0.0168
c-60,0.0071,0.0160
c-61,0.0073,0.0165
c-62,0.0092,0.0177
c-62ghs,0.0093,0.0178
c-63,0.0077,0.0169
c-64,0.0132,0.0203
c-64b,0.0131,0.0201
c-65,0.0082,0.0165
c-66,0.0092,0.0169
c-66b,0.0092,0.0169
c-67,0.0107,0.0166
c-67b,0.0108,0.0168
c-68,0.0089,0.0172
c-69,0.0092,0.0179
c-70,0.0104,0.0174
c-71,0.0110,0.0192
c-72,0.0100,0.0175
c-73,0.0157,0.0209
c-73b,0.0156,0.0205
c-big,0.0180,0.0272
ca-AstroPh,0.0101,0.0188
ca-CondMat,0.0085,0.0167
ca-GrQc,0.0055,0.0144
ca-HepPh,0.0084,0.0167
ca-HepTh,0.0062,0.0148
ca2010,0.0368,0.0463
cage,0.0045,0.0125
cage10,0.0054,0.0143
cage11,0.0073,0.0162
cage12,0.0150,0.0244
cage13,0.0601,0.0601
cage14,0.2020,0.1780
cage15,0.7280,0.6543
cage7,0.0045,0.0124
cage8,0.0045,0.0130
cage9,0.0046,0.0133
caidaRouterLevel,0.0210,0.0311
can_1054,0.0047,0.0128
can_1072,0.0048,0.0128
can_144,0.0044,0.0115
can_161,0.0045,0.0122
can_187,0.0043,0.0119
can_229,0.0044,0.0118
can_256,0.0046,0.0119
can_268,0.0047,0.0124
can_292,0.0046,0.0124
can_445,0.0046,0.0124
can_634,0.0045,0.0123
can_715,0.0047,0.0127
can_838,0.0048,0.0128
cant,0.0296,0.0350
case39,0.2319,0.0205
case9,0.0905,0.0148
cavity01,0.0047,0.0119
cavity02,0.0052,0.0122
cavity03,0.0047,0.0120
cavity04,0.0050,0.0117
cavity05,0.0050,0.0131
cavity06,0.0053,0.0129
cavity07,0.0049,0.0128
cavity08,0.0053,0.0128
cavity09,0.0051,0.0131
cavity10,0.0053,0.0129
cavity11,0.0055,0.0134
cavity12,0.0053,0.0131
cavity13,0.0055,0.0138
cavity14,0.0054,0.0133
cavity15,0.0055,0.0136
cavity16,0.0056,0.0138
cavity17,0.0059,0.0138
cavity18,0.0055,0.0137
cavity19,0.0059,0.0141
cavity20,0.0056,0.0138
cavity21,0.0059,0.0140
cavity22,0.0056,0.0138
cavity23,0.0059,0.0138
cavity24,0.0056,0.0138
cavity25,0.0059,0.0139
cavity26,0.0055,0.0136
cbuckle,0.0071,0.0171
cca,0.0067,0.0159
ccc,0.0066,0.0153
cdde1,0.0045,0.0131
cdde2,0.0046,0.0132
cdde3,0.0045,0.0130
cdde4,0.0046,0.0130
cdde5,0.0045,0.0130
cdde6,0.0045,0.0131
cegb2802,0.0059,0.0145
cegb2919,0.0060,0.0142
cegb3024,0.0052,0.0134
cegb3306,0.0049,0.0133
celegans_metabolic,0.0049,0.0121
celegansneural,0.0046,0.0122
cell1,0.0048,0.0143
cell2,0.0047,0.0142
cfd1,0.0130,0.0230
cfd2,0.0182,0.0273
ch5-5-b3,0.0043,0.0129
ch7-8-b5,0.0076,0.0178
channel-500x100x100-b050,0.6080,0.5233
chem_master1,0.0054,0.0153
chipcool0,0.0060,0.0155
chipcool1,0.0060,0.0152
circuit204,0.0047,0.0129
circuit5M,0.4782,0.4717
