Matrix Name,Rows,NNZs,Parameters (colProp, rowProp),TC_nnz_ratio,se_spmv (ms),cdspmv (ms)
bone010,986703,71666325,(0.5625, 0.45),0.460653,0.1572,0.179
bone010,986703,71666325,(0.625, 0.5),0.459474,0.1831,0.1646
bone010,986703,71666325,(0.6875, 0.55),0.458110,0.1952,0.1503
bone010,986703,71666325,(0.75, 0.6),0.458866,0.2106,0.1362
bone010,986703,71666325,(0.8125, 0.65),0.463690,0.2331,0.1214
bone010,986703,71666325,(0.875, 0.7),0.474730,0.2425,0.1079
it-2004,41291594,1150725436,(0.125, 0.1),0.917930,0.656,4.8393
it-2004,41291594,1150725436,(0.1875, 0.15),0.919247,0.9412,4.6068
it-2004,41291594,1150725436,(0.25, 0.2),0.924865,1.2261,4.3732
it-2004,41291594,1150725436,(0.3125, 0.25),0.928719,1.5021,4.1195
it-2004,41291594,1150725436,(0.375, 0.3),0.929091,1.7748,3.8836
it-2004,41291594,1150725436,(0.4375, 0.35),0.922607,2.0418,3.639
it-2004,41291594,1150725436,(0.5, 0.4),0.915294,2.3039,3.3982
it-2004,41291594,1150725436,(0.5625, 0.45),0.895442,2.5951,3.1536
it-2004,41291594,1150725436,(0.625, 0.5),0.873949,2.9112,2.9079
it-2004,41291594,1150725436,(0.6875, 0.55),0.842870,3.2204,2.6693
it-2004,41291594,1150725436,(0.75, 0.6),0.794497,3.5513,2.4328
it-2004,41291594,1150725436,(0.8125, 0.65),0.736183,3.8292,2.2421
it-2004,41291594,1150725436,(0.875, 0.7),0.681349,4.1107,2.0203
ldoor,952203,46522475,(0.125, 0.1),0.534262,0.0378,0.1892
ldoor,952203,46522475,(0.1875, 0.15),0.534074,0.0538,0.1798
ldoor,952203,46522475,(0.25, 0.2),0.531585,0.0652,0.1706
ldoor,952203,46522475,(0.3125, 0.25),0.530922,0.0802,0.1617
ldoor,952203,46522475,(0.375, 0.3),0.531253,0.0954,0.1527
ldoor,952203,46522475,(0.4375, 0.35),0.531408,0.1086,0.1426
ldoor,952203,46522475,(0.5, 0.4),0.528851,0.1184,0.1327
ldoor,952203,46522475,(0.5625, 0.45),0.528898,0.1272,0.1229
ldoor,952203,46522475,(0.625, 0.5),0.528300,0.1387,0.1136
ldoor,952203,46522475,(0.6875, 0.55),0.524277,0.154,0.1033
ldoor,952203,46522475,(0.75, 0.6),0.522619,0.1626,0.0932
ldoor,952203,46522475,(0.8125, 0.65),0.521344,0.1691,0.2548
ldoor,952203,46522475,(0.875, 0.7),0.520915,0.1775,1.9209
sk-2005,50636154,1949412601,(0.125, 0.1),0.930127,1.0583,7.8427
sk-2005,50636154,1949412601,(0.1875, 0.15),0.944065,1.4555,7.4588
sk-2005,50636154,1949412601,(0.25, 0.2),0.946343,1.8801,7.0743
sk-2005,50636154,1949412601,(0.3125, 0.25),0.951668,2.3752,6.6882
sk-2005,50636154,1949412601,(0.375, 0.3),0.942556,2.8181,6.3039
sk-2005,50636154,1949412601,(0.4375, 0.35),0.933474,3.2977,5.902
sk-2005,50636154,1949412601,(0.5, 0.4),0.925428,3.785,5.5016
sk-2005,50636154,1949412601,(0.5625, 0.45),0.907979,4.3068,5.1121
sk-2005,50636154,1949412601,(0.625, 0.5),0.747783,4.7887,4.6884
sk-2005,50636154,1949412601,(0.6875, 0.55),0.729835,5.3419,4.2999
sk-2005,50636154,1949412601,(0.75, 0.6),0.695720,5.9244,3.8891
sk-2005,50636154,1949412601,(0.8125, 0.65),0.659246,6.4896,3.5014
sk-2005,50636154,1949412601,(0.875, 0.7),0.631004,7.0089,3.1184
uk-2002,18520486,298113762,(0.125, 0.1),0.883797,0.1809,1.3736
uk-2002,18520486,298113762,(0.1875, 0.15),0.887848,0.2609,1.3155
uk-2002,18520486,298113762,(0.25, 0.2),0.887638,0.339,1.2563
uk-2002,18520486,298113762,(0.3125, 0.25),0.883205,0.4174,1.1948
uk-2002,18520486,298113762,(0.375, 0.3),0.878034,0.4982,1.1362
uk-2002,18520486,298113762,(0.4375, 0.35),0.868785,0.5778,1.0738
uk-2002,18520486,298113762,(0.5, 0.4),0.849707,0.6578,1.0188
uk-2002,18520486,298113762,(0.5625, 0.45),0.822313,0.7436,0.9553
uk-2002,18520486,298113762,(0.625, 0.5),0.793635,0.8272,0.8936
uk-2002,18520486,298113762,(0.6875, 0.55),0.759504,0.9082,0.8375
uk-2002,18520486,298113762,(0.75, 0.6),0.717150,0.9915,0.7849
uk-2002,18520486,298113762,(0.8125, 0.65),0.661666,1.0729,0.7334
uk-2002,18520486,298113762,(0.875, 0.7),0.589376,1.1667,0.6752
