Matrix Name,cd_perf (ms),cusparse_perf (ms)
cage9,0.0049,0.0132
caidaRouterLevel,0.0366,0.0312
can_1054,0.0050,0.0127
can_1072,0.0050,0.0129
can_144,0.0046,0.0115
can_161,0.0046,0.0117
can_187,0.0047,0.0119
can_229,0.0047,0.0120
can_256,0.0049,0.0124
can_268,0.0046,0.0120
can_292,0.0048,0.0124
can_445,0.0047,0.0120
can_634,0.0048,0.0128
can_715,0.0048,0.0121
can_838,0.0049,0.0126
cant,0.0165,0.0354
case39,0.0122,0.0205
case9,0.0911,0.0145
cavity01,0.0050,0.0121
cavity02,0.0053,0.0118
cavity03,0.0051,0.0124
cavity04,0.0052,0.0117
cavity05,0.0051,0.0127
cavity06,0.0057,0.0129
cavity07,0.0052,0.0130
cavity08,0.0057,0.0129
cavity09,0.0053,0.0131
cavity10,0.0056,0.0130
cavity11,0.0058,0.0130
cavity12,0.0057,0.0137
cavity13,0.0058,0.0132
cavity14,0.0056,0.0132
cavity15,0.0059,0.0136
cavity16,0.0059,0.0136
cavity17,0.0059,0.0137
cavity18,0.0059,0.0137
cavity19,0.0060,0.0136
cavity20,0.0058,0.0136
cavity21,0.0060,0.0137
cavity22,0.0058,0.0136
cavity23,0.0061,0.0139
cavity24,0.0058,0.0137
cavity25,0.0060,0.0136
cavity26,0.0059,0.0140
cbuckle,0.0071,0.0168
cca,0.0070,0.0160
ccc,0.0068,0.0152
cdde1,0.0047,0.0130
cdde2,0.0048,0.0134
cdde3,0.0048,0.0133
cdde4,0.0049,0.0132
cdde5,0.0048,0.0130
cdde6,0.0047,0.0129
cegb2802,0.0062,0.0145
cegb2919,0.0069,0.0144
cegb3024,0.0054,0.0134
cegb3306,0.0053,0.0137
celegans_metabolic,0.0052,0.0121
celegansneural,0.0049,0.0121
cell1,0.0049,0.0140
cell2,0.0050,0.0141
cfd1,0.0098,0.0232
cfd2,0.0130,0.0275
ch5-5-b3,0.0045,0.0126
ch7-8-b5,0.0100,0.0178
channel-500x100x100-b050,0.3927,0.5236
chem_master1,0.0057,0.0158
chipcool0,0.0064,0.0155
chipcool1,0.0063,0.0151
circuit204,0.0048,0.0125
circuit5M,0.3640,0.4716
circuit5M_dc,0.1337,0.1460
circuit_1,0.0053,0.0133
circuit_2,0.0058,0.0147
circuit_3,0.0065,0.0150
circuit_4,0.0146,0.0161
cit-HepPh,0.0184,0.0222
cit-HepTh,0.0187,0.0209
cit-Patents,0.2342,0.2238
citationCiteseer,0.0404,0.0430
ck400,0.0048,0.0124
ck656,0.0049,0.0126
ckt11752_dc_1,0.0137,0.0157
ckt11752_tr_0,0.0137,0.0157
cnae9_10NN,0.0053,0.0126
cnr-2000,0.0355,0.0317
co2010,0.0149,0.0205
coAuthorsCiteseer,0.0247,0.0254
coAuthorsDBLP,0.0316,0.0303
coPapersCiteseer,0.1593,0.2372
coPapersDBLP,0.1572,0.2292
coater1,0.0053,0.0125
coater2,0.0062,0.0146
collins_15NN,0.0048,0.0124
com-Amazon,0.0340,0.0386
com-DBLP,0.0373,0.0386
com-LiveJournal,0.6312,0.6453
com-Orkut,2.4100,2.5858
com-Youtube,0.0857,0.0699
commanche_dual,0.0051,0.0142
comsol,0.0060,0.0136
cond-mat-2003,0.0092,0.0174
cond-mat-2005,0.0139,0.0184
cond-mat,0.0077,0.0151
conf5_0-4x4-10,0.0053,0.0127
conf5_0-4x4-14,0.0055,0.0130
conf5_0-4x4-18,0.0053,0.0131
conf5_0-4x4-22,0.0053,0.0129
conf5_0-4x4-26,0.0053,0.0133
conf5_4-8x8-05,0.0103,0.0231
conf5_4-8x8-10,0.0102,0.0227
conf5_4-8x8-15,0.0102,0.0229
conf5_4-8x8-20,0.0102,0.0228
conf6_0-4x4-20,0.0054,0.0130
conf6_0-4x4-30,0.0053,0.0128
conf6_0-8x8-20,0.0102,0.0230
conf6_0-8x8-30,0.0103,0.0232
conf6_0-8x8-80,0.0102,0.0230
consph,0.0330,0.0529
cont-201,0.0101,0.0162
cont-300,0.0120,0.0186
cop20k_A,0.1402,0.0614
copter1,0.0057,0.0149
copter2,0.0091,0.0173
coupled,0.0063,0.0148
crack,0.0056,0.0142
crack_dual,0.0066,0.0154
crankseg_1,0.0568,0.0946
crankseg_2,0.0730,0.1221
crashbasis,0.0102,0.0229
crplat2,0.0077,0.0180
cryg10000,0.0052,0.0142
cryg2500,0.0051,0.0138
crystk01,0.0066,0.0149
crystk02,0.0077,0.0177
crystk03,0.0093,0.0231
crystm01,0.0052,0.0135
crystm02,0.0067,0.0148
crystm03,0.0079,0.0159
cs4,0.0080,0.0158
ct2010,0.0119,0.0172
ct20stif,0.0119,0.0263
cti,0.0053,0.0143
cvxbqp1,0.0094,0.0155
cvxqp3,0.0065,0.0153
cyl6,0.0071,0.0163
cz10228,0.0057,0.0142
cz1268,0.0052,0.0132
cz148,0.0047,0.0119
cz20468,0.0060,0.0145
cz2548,0.0052,0.0133
cz308,0.0051,0.0125
cz40948,0.0082,0.0156
cz5108,0.0054,0.0136
cz628,0.0051,0.0123
d_pretok,0.0132,0.0219
darcy003,0.0192,0.0275
data,0.0047,0.0133
dataset12mfeatfactors_10NN,0.0049,0.0130
dataset16mfeatkarhunen_10NN,0.0051,0.0135
dataset18mfeatmorphological_10NN,0.0050,0.0130
